unixtime,equiv_cores,pkg_temp_c,max_core_temp_c,freq_p_mhz,freq_e_mhz,freq_lpe_mhz,util_cpu0
1789830840.018,12.364,86.000,93.000,3623.926,3286.771,1944.482,0.600
1789830840.125,11.247,86.000,93.000,4356.869,3301.385,2350.046,0.400
1789830840.228,13.627,86.000,93.000,4204.262,3071.085,2299.984,0.636
1789830840.333,8.836,86.000,93.000,2056.627,780.986,1358.835,0.400
1789830840.438,9.316,86.000,93.000,4038.338,3033.204,2199.984,0.500
1789830840.541,13.028,94.000,94.000,3974.988,2993.006,1420.425,0.600
1789830840.644,12.755,94.000,94.000,4128.178,3030.427,2199.996,0.400
1789830840.750,12.914,94.000,94.000,4224.060,3326.292,2200.014,0.583
1789830840.853,5.133,94.000,94.000,2175.659,642.734,400.000,0.200
1789830840.957,12.856,94.000,94.000,4146.918,3223.378,2200.017,0.500
1789830841.067,13.028,94.000,94.000,4376.469,3301.394,2382.785,0.545
1789830841.172,13.456,94.000,94.000,3936.520,2927.449,2201.093,0.600
1789830841.277,10.645,94.000,94.000,1637.802,675.173,400.000,0.455
1789830841.379,7.345,94.000,94.000,3743.495,2707.622,1972.100,0.500
1789830841.486,13.580,94.000,94.000,4010.390,2917.401,2439.605,0.500
1789830841.593,13.494,99.000,99.000,4334.895,3301.402,2125.274,0.600
1789830841.698,13.341,99.000,99.000,3899.295,3068.430,2328.743,0.545
1789830841.802,9.961,99.000,99.000,3305.624,2514.310,1091.777,0.333
1789830841.907,12.094,99.000,99.000,4226.444,3283.013,2299.997,0.545
1789830842.016,13.976,99.000,99.000,4282.629,3301.413,1450.256,0.500
1789830842.119,14.902,99.000,99.000,4265.850,3301.363,2500.042,0.727
1789830842.227,14.921,99.000,99.000,4280.320,2835.830,2492.611,0.778
1789830842.332,13.603,99.000,99.000,4381.306,2773.252,2393.700,0.727
1789830842.437,6.990,99.000,99.000,4170.275,3152.506,2300.024,0.364
1789830842.539,14.111,99.000,99.000,3700.465,2755.928,2299.994,0.600
1789830842.645,13.450,100.000,100.000,4258.656,3301.338,2217.969,0.556
1789830842.753,14.930,100.000,100.000,4300.579,3186.128,2500.022,0.545
1789830842.862,14.618,100.000,100.000,4129.772,3278.405,2415.006,0.700
1789830842.971,5.432,100.000,100.000,4335.125,3301.396,1338.637,0.182
1789830843.077,14.705,100.000,100.000,4105.820,2943.225,2250.003,0.636
1789830843.185,12.032,100.000,100.000,4405.576,3301.372,2349.998,0.545
1789830843.291,13.455,100.000,100.000,4152.960,3230.923,2199.974,0.500
1789830843.394,11.473,100.000,100.000,1745.275,714.632,400.000,0.400
1789830843.498,6.926,100.000,100.000,4179.756,3227.064,2200.015,0.364
1789830843.601,13.489,100.000,100.000,4001.734,3156.803,2299.992,0.545
1789830843.711,11.700,99.000,100.000,4353.964,3301.389,2376.623,0.500
1789830843.816,13.956,99.000,99.000,4113.888,2902.228,2300.023,0.636
1789830843.920,6.942,99.000,99.000,1650.348,603.319,400.000,0.300
1789830844.025,11.264,99.000,99.000,4128.247,3065.619,2199.994,0.500
1789830844.132,14.067,99.000,99.000,4173.729,3178.863,2223.318,0.700
1789830844.237,13.476,99.000,99.000,4132.151,3090.096,2300.061,0.636
1789830844.343,11.291,99.000,99.000,4040.833,3138.386,2339.408,0.400
1789830844.447,3.382,99.000,99.000,4495.656,3301.354,2127.858,0.100
1789830844.551,14.112,99.000,99.000,4200.140,3085.394,2200.024,0.545
1789830844.656,13.791,99.000,99.000,4151.823,3194.961,2349.435,0.600
1789830844.760,13.411,89.000,93.000,3985.204,2984.264,2300.020,0.500
1789830844.863,11.630,89.000,95.000,1933.326,1248.664,400.000,0.400
1789830844.967,7.921,89.000,95.000,4298.930,3301.386,2290.827,0.300
1789830845.073,14.972,89.000,95.000,4036.578,2915.919,2361.956,0.545
1789830845.182,12.515,89.000,95.000,4102.514,3143.776,2299.953,0.545
1789830845.291,14.547,89.000,95.000,4108.148,2981.213,2299.969,0.500
1789830845.396,4.486,89.000,95.000,3107.856,2091.603,880.006,0.182
1789830845.503,12.909,89.000,95.000,4242.423,3327.785,2366.120,0.600
1789830845.608,10.411,89.000,95.000,4199.946,3337.178,2099.950,0.400
1789830845.711,7.091,89.000,95.000,1307.104,767.848,1217.691,0.400
1789830845.815,5.311,96.000,96.000,4283.662,3301.406,2250.410,0.333
1789830845.924,10.753,96.000,96.000,4305.549,3301.417,2345.385,0.500
1789830846.030,10.482,96.000,96.000,4245.354,3301.427,2234.301,0.455
1789830846.136,8.652,96.000,96.000,1605.591,1095.011,1992.777,0.400
1789830846.240,4.977,96.000,96.000,4184.111,3301.422,2499.436,0.273
1789830846.343,9.582,96.000,96.000,4013.188,3094.725,1870.059,0.400
1789830846.449,11.473,96.000,96.000,4242.625,3226.875,2200.005,0.500
1789830846.557,11.403,96.000,96.000,4202.563,3301.341,2184.715,0.455
1789830846.659,3.222,96.000,96.000,2970.279,654.935,1547.294,0.200
1789830846.766,10.758,96.000,96.000,4486.629,3237.406,2351.755,0.400
1789830846.871,12.236,95.000,96.000,4210.052,3338.529,2200.001,0.600
1789830846.979,11.583,95.000,96.000,4307.550,3293.363,2486.317,0.455
1789830847.083,8.709,95.000,96.000,1959.233,400.000,400.000,0.500
1789830847.187,6.400,95.000,96.000,4306.212,3264.123,2200.052,0.300
1789830847.293,9.872,95.000,96.000,4186.231,3327.375,2500.588,0.300
1789830847.402,12.303,95.000,96.000,4518.988,3087.090,2500.032,0.455
1789830847.512,11.455,95.000,96.000,4232.318,3301.356,2277.164,0.636
1789830847.616,7.859,95.000,96.000,2124.485,2275.136,1303.839,0.333
1789830847.719,8.457,95.000,96.000,3961.444,3079.478,2200.043,0.417
1789830847.824,12.455,95.000,96.000,4417.818,3301.381,2500.065,0.400
1789830847.927,11.891,95.000,96.000,4267.524,3099.182,2198.236,0.500
1789830848.031,12.497,95.000,95.000,3757.301,2920.877,2400.068,0.545
1789830848.136,4.920,95.000,95.000,1993.219,811.577,1407.949,0.200
1789830848.239,10.609,95.000,95.000,4048.771,3301.397,2199.872,0.300
1789830848.343,12.534,95.000,95.000,3945.721,3175.574,2199.937,0.500
1789830848.450,12.930,95.000,95.000,4085.752,2958.951,2107.909,0.636
1789830848.557,12.559,95.000,95.000,3929.567,3119.028,2124.410,0.500
1789830848.659,5.318,95.000,95.000,3774.275,3092.412,2126.869,0.273
1789830848.769,13.017,95.000,95.000,4538.632,3301.359,2154.639,0.444
1789830848.872,13.641,95.000,95.000,4164.765,3133.851,2199.994,0.727
1789830848.976,13.449,100.000,100.000,4310.945,3285.617,2371.700,0.500
1789830849.079,8.267,100.000,100.000,1944.403,1140.284,1429.677,0.400
1789830849.182,7.108,100.000,100.000,3971.967,3183.332,2200.012,0.300
1789830849.291,11.472,100.000,100.000,4292.376,3291.630,2407.091,0.364
1789830849.393,13.624,100.000,100.000,4164.510,2829.370,2300.017,0.600
1789830849.501,14.079,100.000,100.000,4124.891,3150.883,2299.959,0.545
1789830849.605,6.768,100.000,100.000,1998.707,400.000,400.000,0.300
1789830849.715,12.918,100.000,100.000,4260.080,3125.691,2414.248,0.500
1789830849.823,14.436,100.000,100.000,4174.580,3281.325,2300.040,0.545
1789830849.934,13.475,100.000,100.000,4412.754,3204.313,2500.015,0.700
1789830850.040,13.761,100.000,100.000,4181.798,2959.800,2328.073,0.583
1789830850.145,4.438,100.000,100.000,4398.790,3289.400,2456.019,0.111
1789830850.248,14.339,100.000,100.000,4102.981,2895.652,2300.034,0.727
1789830850.352,13.461,100.000,100.000,4042.450,3299.151,2200.030,0.600
1789830850.456,13.406,100.000,100.000,4019.804,2778.666,2299.972,0.500
1789830850.559,9.294,100.000,100.000,2859.944,2574.106,1350.038,0.200
1789830850.666,6.791,100.000,100.000,4227.958,3278.089,1349.994,0.300
1789830850.772,11.942,100.000,100.000,3395.571,2932.056,2449.520,0.500
1789830850.884,13.512,100.000,100.000,4271.521,3137.061,2394.882,0.583
1789830850.987,14.317,100.000,100.000,4099.110,2557.994,2371.525,0.700
1789830851.090,7.291,91.000,98.000,1492.920,712.164,1359.758,0.200
1789830851.197,10.094,91.000,100.000,4303.488,3298.019,2391.343,0.636
1789830851.301,14.630,91.000,100.000,4153.269,3076.682,2330.846,0.455
1789830851.406,11.227,91.000,100.000,3980.779,3174.648,2350.011,0.500
1789830851.509,13.385,91.000,100.000,3968.208,3193.468,2199.977,0.600
1789830851.614,5.492,91.000,100.000,1886.791,564.684,2003.204,0.200
1789830851.722,13.767,91.000,100.000,4347.763,3301.356,1376.516,0.500
1789830851.835,13.325,91.000,100.000,4113.512,2148.238,2276.511,0.545
1789830851.940,14.356,91.000,100.000,4058.965,3047.861,2200.011,0.545
1789830852.044,11.245,91.000,100.000,1871.334,839.035,1376.556,0.400
1789830852.150,7.067,95.000,100.000,4207.448,3135.385,2200.028,0.300
1789830852.260,13.633,95.000,100.000,4463.610,3223.166,2437.239,0.700
1789830852.367,13.806,95.000,100.000,4130.087,2943.611,2300.003,0.667
1789830852.471,14.427,95.000,100.000,4080.611,3128.252,2200.026,0.545
1789830852.574,5.396,95.000,100.000,1773.889,685.967,1159.737,0.222
1789830852.676,13.430,95.000,100.000,3999.052,3025.014,2249.805,0.600
1789830852.780,13.422,95.000,100.000,4140.727,3257.916,2200.020,0.600
1789830852.884,14.164,95.000,100.000,4091.225,2850.726,2399.948,0.545
1789830852.987,11.868,95.000,100.000,4034.380,2813.520,2499.997,0.400
1789830853.091,5.418,95.000,100.000,4235.322,3346.664,2199.970,0.500
1789830853.194,14.379,97.000,100.000,4118.948,3154.011,2299.988,0.545
1789830853.307,15.238,97.000,97.000,3752.251,3111.067,2399.984,0.700
1789830853.415,14.577,97.000,97.000,4265.104,3289.739,2499.957,0.700
1789830853.523,10.889,97.000,97.000,2652.069,2473.792,2165.202,0.364
1789830853.627,8.242,97.000,97.000,4050.884,3357.173,2272.300,0.455
1789830853.730,13.036,97.000,97.000,4138.079,3302.279,2400.000,0.700
1789830853.836,10.990,97.000,97.000,4095.372,3301.379,2200.037,0.500
1789830853.939,10.190,97.000,97.000,3544.637,2375.686,1663.059,0.545
1789830854.048,6.809,97.000,97.000,4429.849,3304.874,1699.669,0.222
1789830854.152,11.897,97.000,97.000,4270.960,3301.396,2400.577,0.500
